Text 1,Text 2,Text 3,Category 1,Category 2,
morning,der Morgen,,,Dialoge Unit 1,1
Mr.,Herr,,,Dialoge Unit 1,0
day,der Tag,,,Dialoge Unit 1,1
Mrs.,Frau,,,Dialoge Unit 1,0
evening,der Abend,,,Dialoge Unit 1,1
how,wie,,,Dialoge Unit 1,1
goes,geht,,,Dialoge Unit 1,1
it,es,,,Dialoge Unit 1,1
"to you, with you",Ihnen,,,Dialoge Unit 1,2
thanks,danke,,,Dialoge Unit 1,1
very,sehr,,,Dialoge Unit 1,1
"good, well",gut,,,Dialoge Unit 1,1
and,und,,,Dialoge Unit 1,1
"also, too",auch,,,Dialoge Unit 1,1
understand,verstehen,,,Dialoge Unit 1,1
not,nicht,,,Dialoge Unit 1,1
where,wo,,,Dialoge Unit 1,1
is,ist,,,Dialoge Unit 1,0
airport,der Flughafen,,,Dialoge Unit 1,1
over there,dort drüben,,,Dialoge Unit 1,0
please,bitte,,,Dialoge Unit 1,1
to speak,sprechen,,,Dialoge Unit 1,1
slowly,langsam,,,Dialoge Unit 1,1
thank you,danke schön,,,Dialoge Unit 1,0
you're welcome,bitte schön,,,Dialoge Unit 1,0
that,das,,,Dialoge Unit 1,0
railroad station,der Bahnhof,,,Dialoge Unit 1,1
to the left,links,,,Dialoge Unit 1,1
restaurant,das Restaurant,die Restaurants,,Dialoge Unit 1,1
what,was,,,Dialoge Unit 1,1
there,da/dort,,,Dialoge Unit 1,0
hotel,das Hotel,,,Dialoge Unit 1,1
here,hier,,,Dialoge Unit 1,1
to the right,rechts,,,Dialoge Unit 1,1
embassy,die Botschaft,,,Dialoge Unit 1,0
excuse me,Verzeihung,,,Dialoge Unit 1,1
café,das Café,,,Dialoge Unit 1,0
straight ahead,geradeaus,,,Dialoge Unit 1,0
bank,die Bank,,,Dialoge Unit 1,1
isn't it?,nicht wahr?,,,Dialoge Unit 1,0
with pleasure,gern,,,Dialoge Unit 1,0
roll,das Brötchen,,,Dialoge Unit 1,0
to have,haben,,,Dialoge Unit 1,1
which ones,welche,,,Dialoge Unit 1,0
how many,wieviele,,,Dialoge Unit 1,0
one,eins,,,Dialoge Unit 1,1
two,zwei,,,Dialoge Unit 1,1
three,drei,,,Dialoge Unit 1,1
five,fünf,,,Dialoge Unit 1,1
six,sechs,,11/9/16,,
seven,sieben,,11/9/16,,
eight,acht,,11/9/16,,
nine,neun,,11/9/16,,
ten,zehn,,11/9/16,,
eleven,elf,,11/9/16,,
twelve,zwölf,,11/9/16,,
twenty,zwanzig,,11/9/16,,
thirty,dreißig,,11/9/16,,
hundred,hundert,,11/9/16,,
thousand,tausend,,11/9/16,,
million,million,,11/9/16,,
poppy seed roll,das Mohnbrötchen,,,Dialoge Unit 1,0
normal,"normal, gewöhnlich",,,Dialoge Unit 1,0
how much,wieviel,,,Dialoge Unit 1,0
to cost,kosten,,,Dialoge Unit 1,2
eats,esse,,,Dialoge Unit 1,0
french fries,Pommes,,,Dialoge Unit 1,0
sausage with curry-sauce,Currywurst,,,Dialoge Unit 1,0
coke,die Cola,,,Dialoge Unit 1,0
wine,der Wein,,,Dialoge Unit 1,1
are,sind,,,Dialoge Unit 1,0
but,aber,,,Dialoge Unit 1,1
coffee,der Kaffee,,,Dialoge Unit 1,1
tea,der Tee,,,Dialoge Unit 1,1
not ... either,auch ... nicht,,,Dialoge Unit 1,0
milk,die Milch,,,Dialoge Unit 1,1
at least,wenigstens,,,Dialoge Unit 1,1
water,das Wasser,,,Dialoge Unit 1,1
Goodbye,Auf Wiedersehen,,,Dialoge Unit 1,0
easy,einfach,,,Delphin,1
hard,hart,,,Delphin,1
heavy,schwer,,,Delphin,1
